,GeneID,logfc_Native_CM_Ventricular,logfc_Native_CM_Atrial,logfc_Immature_CM,description
282,PHLDA1,-2.9650042,-2.109779,2.071726,pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]
283,KCNQ1OT1,-2.953227,-2.3072913,1.7816097,KCNQ1 opposite strand/antisense transcript 1 [Source:HGNC Symbol;Acc:HGNC:6295]
284,SPHKAP,2.9248617,2.4655287,-4.5504007,"SPHK1 interactor, AKAP domain containing [Source:HGNC Symbol;Acc:HGNC:30619]"
287,ACTG2,-2.913021,-1.5932078,3.4643147,"actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]"
290,PLAT,-2.8883228,-2.7408037,3.6515589,"plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]"
291,FANCG,-2.8616016,-1.8551108,1.7486635,FA complementation group G [Source:HGNC Symbol;Acc:HGNC:3588]
292,EPB41L2,-2.8463478,-2.6451237,2.9540915,erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]
293,GBP1,-2.8452861,-2.1850646,1.8456639,guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]
294,COL6A1,-2.8287792,-2.872036,2.2304432,collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]
295,KNL1,-2.7918687,-2.1488624,1.6416804,kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]
296,PFKFB4,-2.788683,-2.035278,1.5836887,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]"
297,GPC3,-2.7727365,-2.1849172,3.02204,glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]
298,CXCL3,-2.7723076,-2.2931213,2.2750795,C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]
303,KRT7,-2.7411053,-3.0102127,2.3810785,keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]
304,SBSPON,-2.7357621,-2.2351449,2.5819454,somatomedin B and thrombospondin type 1 domain containing [Source:HGNC Symbol;Acc:HGNC:30362]
305,RCAN2,2.7277584,2.4927964,-2.945513,regulator of calcineurin 2 [Source:HGNC Symbol;Acc:HGNC:3041]
306,TACC3,-2.7043335,-1.6041797,1.9524612,transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]
307,EZH2,-2.696296,-2.0965438,1.8897511,enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]
309,KLF2,-2.684575,-3.4122026,1.6928948,KLF transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]
311,SLC8A1,2.6530392,2.522375,-1.9935005,solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]
314,ATP2B1,-2.6238205,-1.9892957,2.0297742,ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]
315,STAC,-2.6082091,-2.0497563,1.96735,SH3 and cysteine rich domain [Source:HGNC Symbol;Acc:HGNC:11353]
316,ITIH2,2.604272,2.8863666,-1.5933346,inter-alpha-trypsin inhibitor heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:6167]
319,SEPTIN11,-2.5628626,-1.8942167,2.3492045,septin 11 [Source:HGNC Symbol;Acc:HGNC:25589]
320,PCDH10,-2.539218,-4.068335,3.6962762,protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404]
321,FAM107B,-2.5243835,-1.8854544,2.4208229,family with sequence similarity 107 member B [Source:HGNC Symbol;Acc:HGNC:23726]
324,PRIM1,-2.4619057,-2.393919,2.0984945,DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]
325,LZTS1,-2.4530203,-2.075525,3.8812163,leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861]
